62,Barbarendorf,488,489,0,532,0
63,Gr.Grievouss+Dorf,485,497,1699927,477,0
64,SG+Dynamo+Dresden,483,484,3090099,591,0
65,Gruseldorf,478,495,3405957,863,0
66,White+Clouds+Dorf,477,497,1576849043,26,0
67,01-001-K44,487,482,7672366,1360,0
68,Premium+Punkte+Farm,496,490,8594724,392,0
69,PP-Farmer,491,483,9099194,454,0
70,Thozas+Dorf,488,491,2526133,218,0
71,Barbarendorf,493,443,0,102,0
72,mr0807s+Dorf,494,485,1576609850,459,0
73,Marienburg,483,488,8044520,934,0
74,pp+farm,490,479,1576416509,529,0
75,Wolltrolls+Dorf,502,485,1576677001,26,0
76,Fives5s+Dorf,486,491,1576592954,502,0
77,Bennddys+Dorf,479,478,9701623,582,0
78,Barbarendorf,496,520,0,71,0
79,Depot+1,475,494,9768961,857,0
80,Studio,488,471,10034027,708,0
81,sascha+zillenbillers+Dorf,484,487,1576155415,215,0
82,AiMPlAyErs+Dorf,494,482,1576321014,805,0
83,Horrordorf,479,473,1576881130,535,0
84,Couch+Potato,482,490,1576925364,996,0
85,mirabars+Dorf,481,493,2165068,402,0
86,Zoniqs+Festung,537,491,1576929945,395,0
87,Desaiqs+Dorf,534,499,1576929946,140,0
88,Barbarendorf,539,493,0,41,0
89,Neue+Welt,524,487,9618480,705,0
90,%7CXXX%7C-144,526,481,1576342987,545,0
91,001+Saustall,515,479,2934561,365,0
92,Barbarendorf,512,494,0,413,0
93,Bonusdorf,482,467,0,99,9
94,Barbarendorf,485,525,0,222,0
95,Barbarendorf,482,534,0,285,0
96,Westend,479,543,7961306,379,0
97,FatzgexXs+Dorf,513,477,1576193360,452,0
98,Winterfell,515,472,1576921727,155,0
99,dorf,517,480,1576930011,286,0
100,Jogarduss+Dorf,512,475,1576691351,159,0
101,ichi,465,488,8211486,978,0
102,BattleShooterTMs+Dorf,467,482,1576554719,368,0
103,01janniks+Dorf,473,495,8705689,26,0
104,SC+Freiburg,488,460,8380426,865,0
105,Berlin,491,453,9751835,1219,0
106,Odinis+Dorf,482,455,9856895,286,0
107,regremo,496,455,1576247812,494,0
108,BlueSky2007s+Dorf,528,517,1576729746,1021,0
109,KatnissEverdeen+Dorf,532,507,1576931768,1097,0
110,RagnarLotbroks+Dorf2,520,510,1576938076,784,0
111,holgaer63+Dorf,526,518,1576939373,677,0
112,Florinhos+City,530,531,1576939870,646,0
113,K%C3%B6nig+william+Wallaces+Dorf,537,519,1576938954,89,0
114,clausiclowns+Dorf,530,514,1576932980,188,0
116,Barbarendorf,509,499,0,35,0
117,Barbarendorf,537,504,0,375,0
118,Worf,539,497,8175897,259,0
119,daniel200023s+Dorf,531,528,9899067,689,0
120,Dr.+CH,533,521,9913598,763,0
121,Mr+Ls+Dorf,539,535,1576835724,463,0
122,%5B001%5D+Ardahan,526,529,2057736,655,0
123,%5B001%5D-Istanbul,528,522,1576939442,1056,0
124,PitBull85s+Dorf,490,496,10095226,26,0
125,Bashhunter123s+Dorf,493,487,8244785,892,0
126,Barbarendorf,483,490,0,44,0
127,001,493,541,3089826,599,0
128,Barbarendorf,492,506,0,104,0
129,Monkey+%7C001%7C,490,549,10207868,975,0
130,DSzocker11s+Dorf,492,543,8314886,575,0
131,phillip03031995s+Dorf,501,548,1575857946,583,0
132,.%3Ap,501,536,1576813190,993,0
133,Xiamens+Dorf,482,533,1576915067,251,0
134,Orianna,472,476,1635254,1133,0
135,ichich44s+Dorf,474,470,3224877,867,0
136,%5B001%5DDaViDD123,463,469,9227825,4004,0
137,Dorf+001,469,478,9704808,1042,0
138,Got2BashUs+Dorf,473,483,9708557,673,0
139,%7E001%7E,455,473,9887624,1132,0
140,Kemmerichs+Dorf,463,491,10045479,1102,0
141,123,466,482,1576923441,961,0
142,Barbarendorf,540,544,0,62,0
143,Lord+Merschos+Dorf,465,484,1576081567,26,0
144,NKing97s+Dorf,461,478,1576503912,193,0
145,witch666,478,483,10118337,920,0
146,Narnia,479,480,8993459,621,0
147,simon+killts+Dorf,455,482,1576712404,529,0
148,Winterfeste,472,482,1576794067,1337,0
